Symbol,Name,Sector,Price,Dividend Yield,Price/Earnings,Earnings/Share,Book Value,52 week low,52 week high,Market Cap,EBITDA,Price/Sales,Price/Book,SEC Filings
FCX,Freeport-McMoRan,Materials,6.37,0.00,,-10.51,9.62,6.08,23.97,7.36,5.40,0.45,0.70,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FCX
FTR,Frontier Communications,Telecommunication Services,4.745,8.990,,-0.143,5.012,4.190,8.460,5.54,2.28,1.004,0.942,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FTR
GME,GameStop Corp,Consumer Discretionary,28.48,5.14,7.68,3.71,18.51,27.01,47.83,2.98,0.8222,0.32,1.55,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GME
GPS,Gap,Consumer Discretionary,25.57,3.72,10.46,2.44,6.46,23.86,43.90,10.28,2.37,0.66,4.07,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GPS
GRMN,Garmin Ltd,Consumer Discretionary,36.2823,5.4900,13.0091,2.7890,16.9940,31.3200,57.1600,6.91,0.65965,2.4738,2.1737,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GRMN
GM,General Motors,Consumer Discretionary,31.484,4.230,11.550,2.726,21.649,24.620,38.990,48.99,13.45,0.331,1.498,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GM
GD,Genl Dynamics,Industrials,135.23,2.01,15.43,8.77,33.90,130.91,153.76,42.82,4.66,1.35,4.03,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GD
GE,Genl Electric,Industrials,30.625,2.950,,-0.728,11.000,19.370,31.490,309.60,28.42,2.120,2.795,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GE
GGP,Genl Growth Properties,Financials,27.47,2.79,18.04,1.52,9.05,24.22,31.70,24.30,1.80,9.48,3.02,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GGP
GIS,Genl Mills,Consumer Staples,56.92,3.05,23.54,2.42,8.09,47.50,59.87,33.77,3.47,1.96,7.07,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GIS
GPC,Genuine Parts,Consumer Discretionary,82.6258,2.8600,17.8111,4.6390,20.9520,78.7600,104.2300,12.46,1.28,0.8245,4.0249,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GPC
GNW,Genworth Financial,Financials,3.44,0.00,,-2.19,27.32,3.41,9.19,1.71,0.55,0.19,0.13,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GNW
GILD,Gilead Sciences,Health Care,100.39,1.70,9.22,10.89,12.02,86.00,123.37,144.68,22.44,4.55,8.26,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GILD
GS,Goldman Sachs Group,Financials,171.15,1.44,11.24,15.22,171.45,167.49,218.77,76.37,0.00,2.27,1.02,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GS
GT,Goodyear Tire & Rub,Consumer Discretionary,30.125,0.900,2.936,10.261,15.407,23.740,35.300,8.10,2.38,0.493,1.993,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GT
GOOGL,Google,Information Technology,763.74,,32.19,23.72,169.03,490.91,798.69,525.24,23.30,7.30,4.51,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GOOGL
GWW,Grainger (W.W.),Industrials,200.19,2.31,17.62,11.36,37.61,189.60,252.87,12.57,1.59,1.25,5.31,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GWW
HRB,H & R Block,Consumer Discretionary,32.9401,2.4000,19.8554,1.6590,-0.1150,29.1500,37.5300,7.77,0.90227,2.5500,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HRB
HAL,Halliburton Co,Energy,33.8935,2.1200,112.2301,0.3020,18.0680,30.9300,50.2000,29.01,4.88,1.0776,1.9039,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HAL
HBI,Hanesbrands,Consumer Discretionary,30.01,1.36,30.56,0.98,3.19,25.92,34.80,11.76,0.96001,2.01,9.42,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HBI
HOG,Harley-Davidson,Consumer Discretionary,44.30,2.73,11.84,3.74,12.57,43.99,66.53,9.02,1.38,1.53,3.60,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HOG
HAR,Harman International,Consumer Discretionary,94.36,1.49,19.42,4.86,33.11,84.41,149.12,6.71,0.73842,1.07,2.90,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HAR
HRS,Harris Corp,Information Technology,87.974,2.300,27.682,3.178,27.881,66.150,89.780,10.95,1.23,1.911,3.162,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HRS
HIG,Hartford Finl Services Gp,Financials,42.3999,1.9300,11.1461,3.8040,44.2580,38.6500,50.9500,17.37,2.62,0.9647,0.9799,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HIG
HAS,Hasbro,Consumer Discretionary,67.75,2.73,19.26,3.52,12.37,51.42,84.42,8.44,0.8219299999999999,1.98,5.51,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HAS
HCA,HCA Holdings,Health Care,66.09,0.00,13.82,4.78,-17.68,43.91,95.49,26.94,7.69,0.69,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HCA
HCP,HCP,Financials,37.65,5.91,75.45,0.50,21.89,32.71,49.61,17.51,1.79,7.32,1.78,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HCP
HP,Helmerich & Payne,Energy,50.57,5.14,13.07,3.87,45.44,46.16,79.90,5.45,1.31,1.82,1.18,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HP
HSY,Hershey Co,Consumer Staples,87.54,2.61,38.68,2.26,4.10,82.41,111.35,18.98,1.70,2.54,21.38,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HSY
HES,Hess Corp,Energy,44.95,2.06,,-4.36,75.24,44.87,79.00,12.74,3.13,1.77,0.64,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HES
HPQ,Hewlett-Packard,Information Technology,11.38,4.19,4.59,2.48,15.40,11.04,18.66,20.39,12.20,0.20,0.76,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HPQ
HD,Home Depot,Consumer Discretionary,129.70,1.78,24.33,5.33,6.01,92.17,135.47,164.44,13.14,1.91,21.71,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HD
HON,Honeywell International,Industrials,102.40,2.30,17.94,5.71,23.04,87.00,107.41,78.92,7.22,2.05,4.49,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HON
HRL,Hormel Foods,Consumer Staples,79.97,1.47,31.48,2.54,15.13,50.13,80.78,21.13,1.22,2.28,5.27,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HRL
HST,Host Hotels & Resorts,Financials,15.175,5.220,17.604,0.862,9.425,14.900,24.190,11.41,1.39,2.146,1.633,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HST
HUM,Humana,Health Care,178.90,0.65,20.55,8.70,69.85,139.73,219.79,26.52,2.70,0.50,2.57,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HUM
JBHT,Hunt(J.B.)Transport,Industrials,71.19,1.15,19.88,3.58,10.90,69.69,93.50,8.16,1.04,1.34,6.61,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=JBHT
HBAN,Huntington Bancshares,Financials,10.625,2.530,13.449,0.790,7.778,9.630,11.900,8.46,0.00,2.978,1.378,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HBAN
ITW,Illinois Tool Works,Industrials,88.43,2.37,17.52,5.05,13.99,78.79,100.14,32.14,3.35,2.39,6.41,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ITW
IR,Ingersoll-Rand Plc,Industrials,53.69,2.10,21.02,2.55,21.96,49.74,70.93,14.02,1.77,1.08,2.48,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=IR
INTC,Intel Corp,Information Technology,33.415,2.790,14.366,2.326,12.071,24.870,37.490,157.69,23.32,2.894,2.803,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=INTC
ICE,Intercontinental Exchange,Financials,255.62,1.17,24.05,10.63,112.18,202.24,266.74,29.41,2.12,9.08,2.30,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ICE
IBM,International Bus. Machines,Information Technology,135.19,3.78,9.41,14.37,13.70,131.65,176.30,131.15,21.41,1.57,9.91,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=IBM
IFF,International Flavors/Fragr,Materials,117.30,1.87,22.18,5.29,19.81,97.94,123.08,9.41,0.6742100000000001,3.12,6.00,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=IFF
IP,International Paper,Materials,37.53,4.67,17.82,2.11,10.49,36.76,57.90,15.56,3.78,0.69,3.62,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=IP
IPG,Interpublic GroupCompanies,Consumer Discretionary,23.07,2.06,19.05,1.21,4.59,18.16,23.80,9.37,1.01,1.24,5.07,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=IPG
INTU,Intuit,Information Technology,96.15,1.24,64.70,1.49,3.98,79.63,109.21,25.38,1.17,5.90,24.13,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=INTU
ISRG,Intuitive Surgical,Health Care,552.56,,38.11,14.50,110.33,447.00,564.86,20.65,0.7846000000000001,8.98,5.00,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ISRG
IVZ,INVESCO Ltd,Financials,32.61,3.23,13.60,2.40,19.09,30.12,42.05,13.82,1.48,2.72,1.73,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=IVZ
IRM,Iron Mountain,Financials,27.21,7.18,44.32,0.61,2.88,25.99,41.53,5.75,0.90255,1.90,9.50,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=IRM
JEC,Jacobs Engineering Group,Industrials,40.74,,16.98,2.40,34.85,36.05,48.25,4.99,0.59329,0.42,1.19,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=JEC
JNJ,Johnson & Johnson,Health Care,100.67,2.92,19.32,5.21,25.86,81.79,106.50,278.55,22.55,3.96,3.90,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=JNJ
